Epoch,Training loss,Test loss,Test acc,Time,,,,,,,,,
449,0.3205,2.5036,0.5272,,,,,,,,,,
450,0.3112,2.5037,0.5267,,,,,,,,,,
451,0.3072,2.4994,0.5273,,,,,,,,,,
452,0.3306,2.5082,0.5283,,,,,,,,,,
453,0.2851,2.5242,0.5266,,,,,,,,,,
454,0.3174,2.5177,0.5294,,,,,,,,,,
455,0.3466,2.5022,0.5291,,,,,,,,,,
456,0.335,2.4992,0.5274,,,,,,,,,,
457,0.3006,2.5086,0.5243,,,,,,,,,,
458,0.3392,2.5019,0.5258,,,,,,,,,,
459,0.2993,2.5109,0.5273,,,,,,,,,,
460,0.2844,2.5205,0.5268,,,,,,,,,,
461,0.3054,2.5272,0.5304,,,,,,,,,,
462,0.3054,2.5291,0.5276,,,,,,,,,,
463,0.3268,2.5122,0.5273,,,,,,,,,,
464,0.3184,2.5076,0.5282,,,,,,,,,,
465,0.3123,2.5086,0.5281,,,,,,,,,,
466,0.3215,2.5058,0.5281,,,,,,,,,,
467,0.3216,2.5088,0.5262,,,,,,,,,,
468,0.3785,2.5015,0.5282,,,,,,,,,,
469,0.3791,2.5085,0.5268,,,,,,,,,,
470,0.3461,2.5048,0.5271,,,,,,,,,,
471,0.2963,2.5026,0.5285,,,,,,,,,,
472,0.3327,2.5013,0.5275,,,,,,,,,,
473,0.37,2.4913,0.5291,,,,,,,,,,
474,0.3592,2.4932,0.5283,,,,,,,,,,
475,0.3281,2.4979,0.5273,,,,,,,,,,
476,0.3471,2.4937,0.5269,,,,,,,,,,
477,0.3485,2.4894,0.528,,,,,,,,,,
478,0.3384,2.4988,0.5284,,,,,,,,,,
479,0.2954,2.4978,0.5298,,,,,,,,,,
480,0.3573,2.4988,0.5295,,,,,,,,,,
481,0.3444,2.4996,0.5285,,,,,,,,,,
482,0.3781,2.4942,0.5257,,,,,,,,,,
483,0.3672,2.4936,0.5248,,,,,,,,,,
484,0.3439,2.4983,0.524,,,,,,,,,,
485,0.3654,2.4993,0.5252,,,,,,,,,,
486,0.3318,2.4993,0.5261,,,,,,,,,,
487,0.3462,2.4935,0.5254,,,,,,,,,,
488,0.2945,2.5082,0.5247,,,,,,,,,,
489,0.3665,2.4993,0.5254,,,,,,,,,,
490,0.3466,2.4941,0.5263,,,,,,,,,,
491,0.3498,2.494,0.5246,,,,,,,,,,
492,0.3533,2.4893,0.5258,,,,,,,,,,
493,0.3344,2.4919,0.5276,,,,,,,,,,
494,0.3583,2.492,0.5248,,,,,,,,,,
495,0.3903,2.4979,0.5248,,,,,,,,,,
496,0.3482,2.4981,0.5265,,,,,,,,,,
497,0.383,2.4978,0.526,,,,,,,,,,
498,0.3799,2.4852,0.5266,,,,,,,,,,
499,0.3676,2.4803,0.5227,,,,,,,,,,
500,0.3696,2.4848,0.5232,,,,,,,,,,
501,0.42,2.4859,0.5234,,,,,,,,,,
502,0.3921,2.4805,0.5256,,,,,,,,,,
503,0.3992,2.4737,0.5235,,,,,,,,,,
504,0.3392,2.48,0.5264,,,,,,,,,,
505,0.3456,2.4839,0.5271,,,,,,,,,,
506,0.3622,2.484,0.5243,,,,,,,,,,
507,0.3762,2.484,0.5251,,,,,,,,,,
508,0.3877,2.4839,0.5242,,,,,,,,,,
509,0.3525,2.4973,0.526,,,,,,,,,,
510,0.337,2.5,0.5252,,,,,,,,,,
511,0.3649,2.496,0.5241,,,,,,,,,,
512,0.3773,2.4983,0.5253,,,,,,,,,,
513,0.3608,2.5033,0.524,,,,,,,,,,
514,0.3989,2.4976,0.5243,,,,,,,,,,
515,0.3965,2.493,0.5233,,,,,,,,,,
516,0.365,2.4997,0.5228,,,,,,,,,,
517,0.3863,2.4937,0.5242,,,,,,,,,,
518,0.4314,2.4818,0.5251,,,,,,,,,,
